	Arg	gold
1479	first u.s . case	first u.s . case
1480	first u.s . case coronav	coronavirus confirmed us case
1481	first u.s . case coronavirus china	first case coronavirus united states resident traveling china hospital
1482	first u.s . case deadly china virus	a new virus spreading china
1483	first u.s . case deadly china virus trumptrain1111	a new virus spreading china
1484	first u.s . case deadly wuhan coronavirus	suspected case wuhan coronavirus
1485	first victim	first victim
1486	first wuhan coronavirus patient	suspected case wuhan coronavirus
1487	five cities	three cities
1488	five patients	170 patients related novel
1489	five people	five people
1490	flash guan yi chinese virologist pivotal identifying sars virus	flash guan yi chinese virologist pivotal identifying sars virus
1491	flavor bans	flavor bans
1492	flavors	flavors
1493	flavors are n’t driving youth vaping over 75 percent youth vapers apparently do n’t	flavors are n’t driving youth vaping over 75 percent youth vapers apparently do n’t
1494	fleas	fleas
1495	flee travel ban	flee travel ban
1496	flight check - ins	flight check - ins
1497	flights	flights
1498	flights booked wuhan	flights booked wuhan
1499	flights philippines wuhan city china	flights booked wuhan
1500	flights philippines wuhan city china due outbr	flights booked wuhan
1501	florida 's republican u.s . @senrickscott	florida 's republican u.s . @senrickscott
1502	florida lawmakers	florida lawmakers
1503	flu	flu
1504	flu activity remain elevated early february	flu activity remain elevated early february
1505	flu common cold respiratory illnesses	flu common cold respiratory illnesses
1506	flu forecasting experts @cdcflu	flu forecasting experts @cdcflu
1507	flu shot	flu shot
1508	flu vaccines	flu shot
1509	flu way epidemic country	flu way epidemic country
1510	fluseason	fluseason
1511	fluvaccine	fluvaccine
1512	flyers	clippers
1513	folic acid	folic acid
1514	folic acid b vitamin	folic acid
1515	food	food
1516	food cold	food
1517	food prices	food prices
1518	food shops	food shops
1519	food shortages streets	food shortages streets
1520	footage	video
1521	force	force
1522	foreign journalists	foreign journalists
1523	foreign tourists response outbreak	foreign tourists response outbreak
1524	form neural tube developing baby	brain damage birth
1525	formative years	formative years
1526	found culprit coronavirus originally thought seafood beli	coronavirus
1527	foundation	foundation
1528	four cases wuhan coronavirus	suspected case wuhan coronavirus
1529	fox news contributors	foreign journalists
1530	foxborough health director	foxborough health director
1531	foxbusiness	foxbusiness
1532	foxnews	foxnews
1533	france	france
1534	frantic locals	frantic locals
1535	free account family practice md cdc guideline	free account family practice md cdc guideline
1536	free press democracy good	america great first amendment
1537	freelancer planning	freelancer planning
1538	freelancers	freelancers
1539	french news	french news
1540	french news reporting deadly virus outbreak china	french news reporting deadly virus outbreak china
1541	frequent updates us	frequent updates us
1542	frickin joking	frickin joking
1543	friendly neighbor trans narco cartels	friendly neighbor trans narco cartels
1544	friends wuhan fi	city wuhan
1545	from @mackayim	from @mackayim
1546	front center	front center
1547	frozen iguanas	frozen iguanas
1548	fruit	fruit
1549	frustrated doctor	frustrated doctor
1550	fucking paper mask	fucking paper mask
1551	full - length genome sequences	detailed bioinformatics analysis sequence
1552	full genetic sequence	detailed bioinformatics analysis sequence
1553	full spread wuhanvirus	wuhan virus
1554	full spread wuhanvirus may seri	wuhan virus
1555	full true story update	full true story update
1556	fund	fund
1557	funding cdc brags abt	cdc funding
1558	funding combat epidemics	funding combat epidemics
1559	funds me rese	funds me rese
1560	future global health experts	global health
1561	g - league clippers i ’d p	g - league clippers i ’d p
1562	game streets	game streets
1563	gantz	gantz
1564	gardasil	gardasil
1565	gardasil may cause 2 300 serious advers	gardasil may cause 2 300 serious advers
1566	garlic	garlic
1567	gem hand washing	gem hand washing
1568	genital herpes	genital herpes
1569	get	get
1570	get act together - fast	get act together - fast
1571	get airplane	airplane
1572	get flu vaccine	flu shot
1573	get folic acid	get folic acid
1574	get sick town children china	get sick town children china
1575	get vaccines pregnanc	get vaccines pregnanc
1576	get whooping cough	vaccines
1577	get worse steadily next 2 - 4 weeks infec	get worse steadily next 2 - 4 weeks infec
1578	get wuhan tryi	get wuhan tryi
1579	getting coronavirus situation	coronavirus
1580	gio	gio
1581	give attention ideel members sylvia becker - dreps natalie bowman they 've wr	attention ideel members sylvia becker - dreps natalie bowman they 've wr
1582	global emergency	global emergency
1583	global health	global health
1584	global health conference wuhan october	global health conference wuhan october
1585	global health crisis	global health crisis
1586	global health trying control coronavirus narrative	control coronavirus narrative
1587	global pandemic called wuhan got you all in check	patients infected wuhan
1588	global public health emergency	global health crisis
1589	go airport 😷 wuhancoronavirus the deadl	go airport 😷 wuhancoronavirus the deadl
1590	go “ wuhan got check ” title play seo game	go “ wuhan got check ” title play seo game
1591	god	god
1592	goggles	masks
1593	going share * factual * information	facts
1594	good deed	good deed
1595	good health care	good health care
1596	google cdc	detailed information website cdc
1597	gov	gov
1598	governm	governm
1599	government	gov
1600	government did n’t learn enough sars epidemic	enough sars epidemic
1601	government ’s incompetence slow response hand	government ’s incompetence slow response hand
1602	govt	gov
1603	grade ii public health emergency response wuhan	patients infected wuhan
1604	great piece	great piece
1605	great reasons	great reasons
1606	greater domestic issues	greater domestic issues
1607	greenville	greenville
1608	grew public housing crack epidemic	grew public housing crack epidemic
1609	ground zero deadly coronavirus	coronavirus
1610	growing epidemic	growing epidemic
1611	growing epidemic smartnews	growing epidemic
1612	growing evidence tha	growing evidence tha
1613	guan yi virologist	guan yi virologist
1614	guan yi virologist helped i d sars	flash guan yi chinese virologist pivotal identifying sars virus
1615	guan yi virologist helped identify severe acute respiratory syndrome	china built lab study sars ebola wuhan
1616	guangdong province home sars	china built lab study sars ebola wuhan
1617	guidance range topics	guidance range topics
1618	guidance 🏥 infection prevention control health care new coronavirus infection	contain coronavirus
1619	gum	chewing gum
1620	gun violence	causes gun violence
1621	gun violence epidemic	gun violence epidemic
1622	guns	guns
1623	guns community end epidemic gun violence	guns community end epidemic gun violence
1624	guns rob us toothbrushes	guns rob us toothbrushes
1625	guttenberg	guttenberg
1626	guttenberg	guttenberg
1627	guy	a man
1628	guys	guys
1629	gynecologic symptoms normal	gynecologic symptoms normal
1630	h	h
1631	h20 xama	h20 xama
1632	haitian authorities	haitian authorities
1633	half ppl	95 % people
1634	half us population	half us population
1635	hamster wheel damn strai	hamster wheel damn strai
1636	handle coronavirus outbreak across china	wuhan coronavirus
1637	handle ep	handle ep
1638	handling sars type	sars
1639	handwashing posters audiences ages multiple languages	handwashing posters audiences ages multiple languages
1640	happy cdc	cdc
1641	hard end gun violence	hard end gun violence
1642	hard way beef jerky culprit zombie outbreak	hard way beef jerky culprit zombie outbreak
1643	harmreduction combustable cigarettes	far fewer toxins combustible cigarettes
1644	hartsfield - jackson list airports	hartsfield - jackson list airports
1645	hartsfield - jackson list airports	hartsfield - jackson list airports
1646	haunggang	haunggang
1647	havoc	havoc
1648	hazardous material suits	hazardous material suits
1649	hcps share stats	hcps share stats
1650	he	i
1651	head department health claims	head department health claims
1652	health	eating healthy
1653	health authorities	health officials
1654	health benefits	benefits quitting
1655	health care humanity crisis china	health care humanity crisis china
1656	health entry screenings atlanta airport due coronavirus	airport checks coronavirus
1657	health facilities	hospitals
1658	health human rig	health human rig
1659	health newborns	developing baby diseases
1660	health news	health news
1661	health officials	health officials
1662	health officials brazos county	county health district
1663	health officials brazos county texas	county health district
1664	health officials everywhere	health officials
1665	health officials worldwide	health officials
1666	health officials worldwide working contain coronavirus	health officials worldwide working contain coronavirus
1667	health organization	health officials
1668	health professions	health professions
1669	health risks ridiculous	health risks ridiculous
1670	health safety	health safety
1671	health screening coronavirus originat	coronavirus screening
1672	health screenings	health screenings
1673	health screenings implementing new quarantine procedures officials	health screenings implementing new quarantine procedures officials
